Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2013,77,40,37,39,18,9,5,,6
2013,26,16,10,14,6,,,,
2013,24,10,14,18,,,,,
2013,,,,,,,,,
2013,31,17,14,9,10,,,,5
2013,115,48,67,78,5,14,5,,12
2013,,,,,,,,,
2013,34,17,17,21,,,,,7
2013,,,,,,,,,
2013,36,18,18,22,,,,,7
2013,,,,,,,,,
2013,28,8,20,22,,,,,
2013,,,,,,,,,
2013,7,,,6,,,,,
2013,6,5,,,,,,,
2013,,,,,,,,,
2013,6,,,5,,,,,
2013,23,10,13,14,,6,,,
2013,8,,,7,,,,,
2013,,,,,,,,,
2013,117,48,69,94,5,8,6,,
2013,17,8,10,16,,,,,
2013,22,6,15,10,,,6,,
2013,21,9,12,18,,,,,
2013,39,18,21,32,,,,,
2013,,,,,,,,,
2013,6,,,5,,,,,
2013,15,6,9,14,,,,,
2013,17,11,7,7,,7,,,
2013,111,42,69,96,,7,,,
2013,30,11,19,27,,,,,
2013,36,12,23,27,,5,,,
2013,,,,,,,,,
2013,17,,13,16,,,,,
2013,27,15,12,25,,,,,
2013,127,47,80,104,,6,,,7
2013,,,,,,,,,
2013,33,12,21,28,,,,,
2013,10,6,5,8,,,,,
2013,28,7,21,22,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,15,5,10,15,,,,,
2013,24,9,15,20,,,,,
2013,,,,,,,,,
2013,88,46,42,35,,39,7,,
2013,22,12,10,6,,13,,,
2013,8,,6,6,,,,,
2013,19,9,11,10,,5,,,
2013,20,11,9,5,,14,,,
2013,12,,8,7,,,,,
2013,102,54,48,39,9,42,9,,
2013,152,64,88,111,7,16,5,,12
2013,115,37,79,90,,,9,,7
2013,125,60,65,87,15,11,,,7
2013,140,57,83,119,,10,,,5
2013,24,9,15,22,,,,,
2013,35,20,15,11,,20,,,
2013,8,,6,6,,,,,
2013,,,,,,,,,
2013,29,15,14,18,,,,,6
2013,11,,9,11,,,,,
2013,5,,,,,,,,
2013,30,11,19,24,,,,,
2013,,,,,,,,,
2013,28,8,20,22,,,,,
2013,5,,,,,,,,
2013,19,9,11,10,,5,,,
2013,41,13,28,32,,5,,,
2013,10,,6,10,,,,,
2013,239,104,135,157,26,29,13,,13
2013,22,8,14,19,,,,,
2013,6,,,5,,,,,
2013,,,,,,,,,
2013,23,13,11,21,,,,,
2013,97,42,56,72,,11,,,5
2013,390,221,169,278,16,50,18,,16
2013,47,23,24,26,7,9,,,
2013,23,14,9,17,,,,,
2013,13,5,8,7,,,,,
2013,13,6,7,,,5,,,
2013,96,59,37,74,5,6,,,8
2013,,,,,,,,,
2013,31,19,12,22,,,,,
2013,,,,,,,,,
2013,35,22,13,25,,,,,
2013,,,,,,,,,
2013,17,10,7,12,,,,,
2013,,,,,,,,,
2013,13,10,,12,,,,,
2013,5,,,,,,,,
2013,,,,,,,,,
2013,5,,,5,,,,,
2013,12,8,,8,,,,,
2013,10,6,,6,,,,,
2013,87,52,35,73,,,,,
2013,9,6,,9,,,,,
2013,11,9,,10,,,,,
2013,22,14,8,17,,,,,
2013,27,14,12,22,,,,,
2013,,,,,,,,,
2013,9,,6,6,,,,,
2013,12,9,,12,,,,,
2013,47,33,14,38,,,,,
2013,10,8,,9,,,,,
2013,9,5,,5,,,,,
2013,,,,,,,,,
2013,13,9,,11,,,,,
2013,11,8,,8,,,,,
2013,43,22,21,31,,7,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,13,7,6,9,,,,,
2013,,,,,,,,,
2013,8,6,,7,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,5,,,,,,,,
2013,,,,,,,,,
2013,8,5,,6,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,70,32,38,36,,21,7,,
2013,18,7,10,9,,6,,,
2013,5,,,,,,,,
2013,12,,8,7,,,,,
2013,18,5,13,,,8,,,
2013,17,13,,11,,,,,
2013,81,35,45,39,,27,7,,
2013,121,72,49,93,6,7,,,10
2013,58,41,17,49,,,,,
2013,81,43,38,60,6,5,6,,
2013,49,30,20,37,,8,,,
2013,9,7,,8,,,,,
2013,33,20,14,20,,9,,,
2013,24,15,9,18,,,,,
2013,7,6,,7,,,,,
2013,11,6,5,8,,,,,
2013,5,,,,,,,,
2013,16,10,6,12,,,,,
2013,5,,,,,,,,
2013,,,,,,,,,
2013,158,88,71,111,9,19,10,,
2013,8,5,,7,,,,,
2013,5,,,5,,,,,
2013,,,,,,,,,
2013,10,6,,7,,,,,
2013,63,39,25,50,,5,,,
2013,214,100,114,145,13,33,7,,10
2013,18,11,7,9,6,,,,
2013,7,5,,5,,,,,
2013,7,,,,,,,,
2013,5,,,,,,,,
2013,40,24,16,18,5,12,,,
2013,,,,,,,,,
2013,21,12,9,10,,7,,,
2013,,,,,,,,,
2013,22,12,9,11,,7,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,36,17,19,25,,5,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,7,6,,6,,,,,
2013,11,6,5,6,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,27,10,17,22,,,,,
2013,10,6,5,9,,,,,
2013,11,,9,7,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,75,30,45,63,,7,,,
2013,,,,,,,,,
2013,31,15,16,26,,,,,
2013,,,,,,,,,
2013,8,,5,6,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,10,,8,9,,,,,
2013,10,,9,9,,,,,
2013,7,5,,6,,,,,
2013,,,,,,,,,
2013,18,8,10,8,,5,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,5,,,,,,,,
2013,20,10,10,9,,6,,,
2013,67,32,35,42,5,13,,,5
2013,54,23,32,44,,,,,
2013,32,16,16,18,5,5,,,
2013,40,18,22,32,,,,,
2013,10,6,,9,,,,,
2013,8,,5,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,19,11,8,9,,7,,,
2013,,,,,,,,,
2013,29,14,15,24,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,12,,10,8,,,,,
2013,9,,7,8,,,,,
2013,64,33,31,41,7,9,,,
2013,5,,,5,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,39,16,23,27,,7,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,31,21,10,18,,10,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,6,5,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,19,12,7,11,,6,,,
2013,,,,,,,,,
2013,7,5,,6,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,20,13,7,11,,7,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,5,,,,,,,,
2013,7,5,,6,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,7,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2014,"1,101",478,623,851,38,143,53,5,7
2014,110,55,55,60,22,20,8,,
2014,43,23,21,30,6,7,,,
2014,38,18,20,27,,,,,
2014,34,17,17,8,12,10,,,
2014,219,79,140,182,5,25,,,
2014,5,,,,,,,,
2014,64,23,41,53,,7,,,
2014,7,,5,6,,,,,
2014,72,25,46,60,,8,,,
2014,6,,,5,,,,,
2014,42,14,28,37,,,,,
2014,,,,,,,,,
2014,21,9,12,18,,,,,
2014,16,8,8,9,,5,,,
2014,,,,,,,,,
2014,26,9,18,24,,,,,
2014,,,,,,,,,
2014,27,8,19,21,,,,,
2014,229,96,133,187,,19,19,,
2014,44,18,26,40,,,,,
2014,28,15,13,19,,,7,,
2014,33,18,15,27,,,,,
2014,76,29,47,58,,10,7,,
2014,,,,,,,,,
2014,19,6,13,18,,,,,
2014,27,12,15,23,,,,,
2014,168,80,88,149,,11,5,,
2014,44,26,18,39,,,,,
2014,45,21,24,36,,5,,,
2014,,,,,,,,,
2014,46,16,29,43,,,,,
2014,31,15,16,27,,,,,
2014,225,94,131,190,,17,8,,
2014,,,,,,,,,
2014,79,35,44,66,,6,,,
2014,17,8,9,17,,,,,
2014,40,18,23,34,,,,,
2014,,,,,,,,,
2014,38,10,27,31,,5,,,
2014,18,6,12,14,,,,,
2014,25,11,14,22,,,,,
2014,5,,,,,,,,
2014,150,74,76,83,,51,12,,
2014,54,26,28,32,,17,,,
2014,12,,8,12,,,,,
2014,13,8,6,,,6,,,
2014,25,14,12,12,,14,,,
2014,41,20,21,21,,14,5,,
2014,169,83,86,91,7,56,14,,
2014,295,112,183,246,6,33,,,
2014,224,94,130,184,,15,18,,
2014,230,98,132,170,19,27,14,,
2014,183,91,93,160,,11,5,,
2014,39,22,16,35,,,,,
2014,91,43,47,49,,30,9,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,12,,8,12,,,,,
2014,,,,,,,,,
2014,52,19,32,43,,6,,,
2014,29,9,21,27,,,,,
2014,70,32,39,59,,5,,,
2014,6,,,5,,,,,
2014,41,14,27,36,,,,,
2014,15,8,7,9,,5,,,
2014,14,8,6,,,6,,,
2014,50,25,25,40,,6,,,
2014,24,7,17,21,,,,,
2014,404,180,224,292,27,54,32,,
2014,23,10,13,20,,,,,
2014,28,9,19,26,,,,,
2014,8,,,8,,,,,
2014,30,16,14,26,,,,,
2014,165,64,101,137,5,16,,,
2014,764,365,399,541,32,110,47,,28
2014,119,58,61,66,19,24,9,,
2014,49,26,23,35,5,8,,,
2014,,,,,,,,,
2014,38,16,22,22,,8,5,,
2014,34,17,17,11,11,8,,,
2014,141,66,75,109,6,13,,,9
2014,,,,,,,,,
2014,40,21,20,27,,7,,,
2014,,,,,,,,,
2014,44,23,22,30,,7,,,
2014,,,,,,,,,
2014,26,9,17,24,,,,,
2014,,,,,,,,,
2014,14,6,9,11,,,,,
2014,11,,6,6,,,,,
2014,,,,,,,,,
2014,13,8,5,11,,,,,
2014,24,13,11,20,,,,,
2014,140,64,76,111,,6,11,,8
2014,25,11,13,25,,,,,
2014,26,9,17,15,,,8,,
2014,23,11,12,17,,,,,
2014,36,18,18,29,,,,,
2014,,,,,,,,,
2014,9,6,,7,,,,,
2014,15,8,7,10,,,,,
2014,13,,9,12,,,,,
2014,126,60,66,107,,6,,,6
2014,26,9,16,22,,,,,
2014,43,24,19,36,,,,,
2014,,,,,,,,,
2014,27,12,14,24,,,,,
2014,27,13,14,22,,,,,
2014,120,55,65,98,,13,5,,
2014,,,,,,,,,
2014,38,25,14,31,,6,,,
2014,9,5,5,7,,,,,
2014,23,6,18,19,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,17,6,11,14,,,,,
2014,5,,,,,,,,
2014,21,11,10,20,,,,,
2014,7,,5,5,,,,,
2014,118,62,56,50,,48,14,,
2014,36,15,21,14,,16,,,
2014,10,7,,9,,,,,
2014,22,15,7,13,,6,,,
2014,7,,,7,,,,,
2014,25,12,13,5,,17,,,
2014,23,12,11,9,,9,,,
2014,142,74,68,55,8,58,17,,
2014,177,81,96,135,7,17,5,,11
2014,135,58,77,108,,10,13,,
2014,167,82,85,123,15,15,8,,5
2014,144,70,73,120,,9,,,7
2014,20,6,14,18,,,,,
2014,59,26,33,22,,25,6,,
2014,10,7,,9,,,,,
2014,,,,,,,,,
2014,33,17,16,22,,6,,,
2014,16,8,9,15,,,,,
2014,34,22,12,28,,5,,,
2014,5,,,,,,,,
2014,26,9,17,24,,,,,
2014,10,,6,5,,,,,
2014,,,,,,,,,
2014,22,15,7,13,,6,,,
2014,,,,,,,,,
2014,48,27,21,40,,,,,
2014,7,,5,6,,,,,
2014,306,138,168,201,22,46,25,,9
2014,19,10,9,18,,,,,
2014,14,9,5,12,,,,,
2014,5,,,,,,,,
2014,25,13,12,20,,,,,
2014,104,50,54,82,,10,,,6
2014,427,235,192,299,19,71,13,,19
2014,60,35,25,21,13,18,,,
2014,26,17,8,14,,7,,,
2014,17,7,10,6,,5,,,
2014,20,12,8,,6,7,,,
2014,103,53,50,75,5,12,,,9
2014,,,,,,,,,
2014,39,21,18,24,,8,,,
2014,,,,,,,,,
2014,42,23,20,27,,8,,,
2014,17,10,7,13,,,,,
2014,,,,,,,,,
2014,11,6,5,10,,,,,
2014,6,,,,,,,,
2014,,,,,,,,,
2014,8,,,8,,,,,
2014,16,6,10,11,,,,,
2014,91,58,33,79,,6,,,
2014,14,10,,14,,,,,
2014,16,9,6,14,,,,,
2014,12,5,7,12,,,,,
2014,28,22,6,23,,,,,
2014,,,,,,,,,
2014,10,,6,6,,,,,
2014,13,8,5,11,,,,,
2014,52,26,26,46,,,,,
2014,12,,8,11,,,,,
2014,14,7,6,12,,,,,
2014,,,,,,,,,
2014,15,10,6,14,,,,,
2014,10,5,5,8,,,,,
2014,65,35,30,51,,5,,,
2014,,,,,,,,,
2014,22,13,10,18,,,,,
2014,11,6,5,8,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,13,7,6,11,,,,,
2014,,,,,,,,,
2014,56,28,28,27,,26,,,
2014,21,10,11,10,,11,,,
2014,,,,,,,,,
2014,7,5,,6,,,,,
2014,7,,,,,5,,,
2014,16,8,8,7,,8,,,
2014,69,35,34,30,,33,,,
2014,120,59,62,90,5,12,,,9
2014,76,45,31,63,,6,,,
2014,97,62,34,61,10,15,5,,
2014,65,34,32,55,,5,,,
2014,11,,8,10,,,,,
2014,35,17,18,16,,18,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,31,18,13,19,,7,,,
2014,9,7,,8,,,,,
2014,19,10,9,15,,,,,
2014,,,,,,,,,
2014,8,5,,,,,,,
2014,16,9,7,13,,,,,
2014,5,,,,,,,,
2014,7,5,,6,,,,,
2014,15,8,7,13,,,,,
2014,5,,,5,,,,,
2014,169,102,67,109,14,29,9,,6
2014,13,7,6,11,,,,,
2014,8,,,8,,,,,
2014,,,,,,,,,
2014,8,,,6,,,,,
2014,69,35,34,51,,8,,,
2014,151,71,80,109,,16,12,,7
2014,12,9,,6,,,,,
2014,7,5,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,19,10,9,12,,5,,,
2014,,,,,,,,,
2014,6,,,,,,,,
2014,,,,,,,,,
2014,7,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,27,15,12,21,,,,,
2014,,,,,,,,,
2014,9,,5,7,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,5,,,5,,,,,
2014,18,11,7,15,,,,,
2014,,,,,,,,,
2014,6,,,5,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,8,5,,6,,,,,
2014,61,19,42,52,,,,,
2014,,,,,,,,,
2014,19,11,8,18,,,,,
2014,6,,5,6,,,,,
2014,10,,8,8,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,9,,7,7,,,,,
2014,,,,,,,,,
2014,8,,5,6,,,,,
2014,,,,,,,,,
2014,14,7,7,,,,,,
2014,6,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,16,9,7,,,5,,,
2014,32,12,19,23,,6,,,
2014,,,,,,,,,
2014,43,21,22,36,,,,,
2014,23,12,10,15,,,,,
2014,37,16,21,31,,,,,
2014,,,,,,,,,
2014,8,5,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,5,,,,,,,,
2014,,,,,,,,,
2014,17,10,7,16,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,6,,,5,,,,,
2014,7,,6,5,,,,,
2014,53,26,26,37,,,5,,
2014,7,,6,6,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,7,5,,6,,,,,
2014,,,,,,,,,
2014,27,9,18,23,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,34,13,21,26,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,9,,5,9,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,5,,,5,,,,,
2014,,,,,,,,,
2014,5,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,7,,,6,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,5,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,12,5,7,10,,,,,
2014,,,,,,,,,
2014,6,,,5,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,13,5,8,10,,,,,
2014,10,5,5,10,,,,,
2014,,,,,,,,,
2014,5,,,,,,,,
2014,5,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,6,,,5,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,,,,,,,,,
2014,7,,6,,,,,,
2014,,,,,,,,,
2014,6,,,6,,,,,
2014,6,,,5,,,,,
2015,"1,082",464,618,840,30,123,71,,5
2015,107,48,59,58,17,19,10,,
2015,40,21,19,30,,,,,
2015,36,12,24,24,,6,,,
2015,37,17,19,7,10,10,8,,
2015,231,95,136,194,,23,,,
2015,5,,,,,,,,
2015,63,28,35,55,,,,,
2015,6,,,5,,,,,
2015,69,31,38,60,,,,,
2015,9,6,,8,,,,,
2015,45,13,32,39,,,,,
2015,,,,,,,,,
2015,23,11,12,22,,,,,
2015,13,5,9,7,,,,,
2015,,,,,,,,,
2015,20,7,13,19,,,,,
2015,41,19,22,30,,9,,,
2015,210,90,120,177,,9,22,,
2015,29,16,13,28,,,,,
2015,33,15,19,21,,,10,,
2015,40,20,20,38,,,,,
2015,7,7,,5,,,,,
2015,75,27,48,58,,6,10,,
2015,,,,,,,,,
2015,19,7,12,17,,,,,
2015,20,7,13,18,,,,,
2015,159,88,71,137,,12,8,,
2015,42,19,23,38,,,,,
2015,43,25,17,33,,5,5,,
2015,,,,,,,,,
2015,40,28,12,37,,,,,
2015,30,13,17,25,,,,,
2015,247,89,158,204,5,22,13,,
2015,,,,,,,,,
2015,70,22,48,63,,5,,,
2015,25,10,15,23,,,,,
2015,53,22,31,37,,,9,,
2015,,,,,,,,,
2015,,,,,,,,,
2015,40,9,31,35,,,,,
2015,9,5,,6,,,,,
2015,25,11,14,22,,,,,
2015,13,7,6,11,,,,,
2015,128,54,74,70,,38,14,,
2015,,,,,,,,,
2015,48,19,29,28,,16,,,
2015,7,,,7,,,,,
2015,18,10,9,9,,5,,,
2015,20,8,12,7,,8,,,
2015,32,12,19,18,,9,,,
2015,150,63,86,76,6,46,17,,
2015,311,123,188,264,5,30,5,,
2015,219,93,126,179,,11,24,,
2015,206,88,117,154,14,16,18,,
2015,196,97,100,168,,19,6,,
2015,39,16,22,35,,,,,
2015,76,30,46,44,,24,6,,
2015,7,,,7,,,,,
2015,,,,,,,,,
2015,51,24,27,44,,,,,
2015,25,17,8,23,,,,,
2015,64,20,45,59,,,,,
2015,,,,,,,,,
2015,44,12,32,38,,,,,
2015,12,,8,7,,,,,
2015,8,5,,7,,,,,
2015,18,10,9,9,,5,,,
2015,46,28,18,36,,5,5,,
2015,30,,26,26,,,,,
2015,392,168,224,283,19,40,45,,
2015,20,10,10,17,,,,,
2015,21,7,14,20,,,,,
2015,6,5,,6,,,,,
2015,26,11,15,22,,,,,
2015,197,92,106,160,5,24,6,,
2015,787,323,464,543,56,98,50,,29
2015,102,44,58,46,21,22,8,,
2015,,,,,,,,,
2015,45,22,23,27,,11,,,
2015,30,11,19,17,,6,,,
2015,30,12,18,5,13,6,5,,
2015,164,70,94,120,16,12,,,10
2015,,,,,,,,,
2015,51,23,28,31,9,,,,6
2015,6,,,,,,,,
2015,,,,,,,,,
2015,57,26,31,35,10,,,,7
2015,,,,,,,,,
2015,36,14,22,29,,,,,
2015,,,,,,,,,
2015,19,8,11,16,,,,,
2015,8,,,5,,,,,
2015,,,,,,,,,
2015,13,5,8,11,,,,,
2015,21,9,12,16,,,,,
2015,125,52,73,97,5,5,12,,5
2015,11,,9,9,,,,,
2015,28,10,18,16,,,7,,
2015,23,8,15,20,,,,,
2015,44,19,25,33,,,5,,
2015,12,8,,10,,,,,
2015,12,5,6,10,,,,,
2015,140,64,76,117,7,7,,,
2015,33,13,20,24,,,,,
2015,53,25,28,45,5,,,,
2015,,,,,,,,,
2015,18,8,11,18,,,,,
2015,33,16,16,27,,,,,
2015,156,58,98,128,,10,10,,5
2015,,,,,,,,,
2015,50,22,28,43,,5,,,
2015,7,5,,6,,,,,
2015,31,11,20,25,,,,,
2015,,,,,,,,,
2015,,,,,,,,,
2015,23,6,17,20,,,,,
2015,5,,,,,,,,
2015,31,11,20,26,,,,,
2015,6,,,5,,,,,
2015,100,35,65,35,7,42,13,,
2015,29,10,19,10,,12,,,
2015,5,,,5,,,,,
2015,20,9,12,6,,8,5,,
2015,21,5,16,5,,14,,,
2015,23,9,14,8,,8,,,
2015,120,42,77,40,15,47,14,,
2015,203,81,122,153,16,12,7,,11
2015,146,58,88,116,,6,13,,5
2015,14,6,9,5,,8,,,
2015,146,64,82,92,15,21,12,,5
2015,173,78,95,143,7,12,,,
2015,27,10,17,18,,,,,
2015,50,18,32,17,5,19,7,,
2015,5,,,5,,,,,
2015,,,,,,,,,
2015,42,18,23,25,8,,,,5
2015,11,5,7,11,,,,,
2015,45,21,24,38,,5,,,
2015,,,,,,,,,
2015,35,14,22,28,,,,,
2015,7,,,5,,,,,
2015,20,9,12,6,,8,5,,
2015,57,27,30,49,5,,,,
2015,14,,11,12,,,,,
2015,284,110,174,175,27,40,26,,12
2015,28,8,19,24,,,,,
2015,13,5,8,11,,,,,
2015,,,,,,,,,
2015,30,15,15,25,,,,,
2015,15,9,6,,,10,,,
2015,112,52,60,87,6,11,,,5
2015,429,236,193,286,25,70,21,,22
2015,65,35,30,34,14,10,5,,
2015,31,15,15,19,,7,,,
2015,15,9,7,9,,,,,
2015,21,12,9,7,8,,,,
2015,102,51,51,76,,8,,,8
2015,,,,,,,,,
2015,28,12,16,24,,,,,
2015,,,,,,,,,
2015,32,13,19,27,,,,,
2015,,,,,,,,,
2015,,,,,,,,,
2015,15,9,6,13,,,,,
2015,,,,,,,,,
2015,10,,7,8,,,,,
2015,10,6,,5,,,,,
2015,,,,,,,,,
2015,11,,8,8,,,,,
2015,18,11,7,12,,,,,
